original_sentence,processed_sentence,target,top1_prediction,top3_predictions
"在 桂平 西山 龙华寺 看到 的 <h>灵芝</h> , 师父 说 这 是 第四 <CL> 灵芝","在 桂平 西山 龙华寺 看到 的 灵芝 , 师父 说 这 是 第四 [MASK] 灵芝",株,次,"次, 个, 种"
"做 一 <CL> 坚强 的 <h>女子</h> , 坦然 面对 , 勇敢 体会 。","做 一 [MASK] 坚强 的 女子 , 坦然 面对 , 勇敢 体会 。",个,个,"个, 名, 位"
还是 那 <CL> <h>树</h> 雪后,还是 那 [MASK] 树 雪后,棵,棵,"棵, 片, 些"
"原来 感 叫 抓字虱 , 原来 感叫扮 可怜 , 原来 我 已经 学识 每 打 完 一 <CL> <h>电话</h> 都 爆 粗","原来 感 叫 抓字虱 , 原来 感叫扮 可怜 , 原来 我 已经 学识 每 打 完 一 [MASK] 电话 都 爆 粗",次,个,"个, 次, 通"
"等 遇上 盗猎者 的 时候 , 仅 有 队长 和 记者 , 面对 盗猎 者 数十 <CL> <h>枪</h> 盗猎者 利诱 的 , 日 泰 队长 依然 毫 不 畏惧 , 最终 命丧 枪口 。","等 遇上 盗猎者 的 时候 , 仅 有 队长 和 记者 , 面对 盗猎 者 数十 [MASK] 枪 盗猎者 利诱 的 , 日 泰 队长 依然 毫 不 畏惧 , 最终 命丧 枪口 。",杆,把,"把, 个, 只"
"在 游戏 大树 中 获得 了 成就 紫色 闪电 , 成为 微博 第 18 <CL> 获得 该 成就 的 <h>人</h> , 你 想 和 TA 比 试 一下 吗","在 游戏 大树 中 获得 了 成就 紫色 闪电 , 成为 微博 第 18 [MASK] 获得 该 成就 的 人 , 你 想 和 TA 比 试 一下 吗",位,位,"位, 个, 名"
"虽然 由于 种种 原因 不 能 回家 过年 , 但 大年 初一 在 和 最 好 的 朋友 一起 游 公园 中 度过 , 原有 的 郁卒 也 渐渐 淡化 , 感觉 也 别 有 一 <CL> <h>滋味</h> !","虽然 由于 种种 原因 不 能 回家 过年 , 但 大年 初一 在 和 最 好 的 朋友 一起 游 公园 中 度过 , 原有 的 郁卒 也 渐渐 淡化 , 感觉 也 别 有 一 [MASK] 滋味 !",番,番,"番, 种, 份"
"下午 , 年 前 的 最后 一 <CL> <h>上课</h> , 结束 以后 就 迎来 真正 的 假期 了 , 加油","下午 , 年 前 的 最后 一 [MASK] 上课 , 结束 以后 就 迎来 真正 的 假期 了 , 加油",次,次,"次, 节, 个"
皇 马 什么 时候 能 赢 一 <CL> <h>吖</h>,皇 马 什么 时候 能 赢 一 [MASK] 吖,次,场,"场, 点, 次"
看看 远处 不 一定 爱 你 的 那 <CL> <h>人</h> 早 就 等 在 那里 。,看看 远处 不 一定 爱 你 的 那 [MASK] 人 早 就 等 在 那里 。,个,个,"个, 些, 种"
最近 人 都 跑到 哪去 了 连 <CL> <h>鬼</h> 影都 看 不 到 今天 真 是 差到 了 极点 了,最近 人 都 跑到 哪去 了 连 [MASK] 鬼 影都 看 不 到 今天 真 是 差到 了 极点 了,个,个,"个, 点, 条"
"这 <CL> <h>宝贝</h> 这 两 天 问 的 人 满 多 好客 茶具 大号 孟宗竹 乌金 石 茶盘 茶 具 茶 海特价 67 x 345 x8 , 价格 29800 元 , 见","这 [MASK] 宝贝 这 两 天 问 的 人 满 多 好客 茶具 大号 孟宗竹 乌金 石 茶盘 茶 具 茶 海特价 67 x 345 x8 , 价格 29800 元 , 见",件,个,"个, 位, 些"
我 很 喜欢 这 <CL> <h>氛围</h> 。,我 很 喜欢 这 [MASK] 氛围 。,种,种,"种, 个, 些"
台上 的 十八 <CL> <h>武艺</h> 是 台下 挤出 空闲 时间 辛苦 排练 的 成果 呀 !,台上 的 十八 [MASK] 武艺 是 台下 挤出 空闲 时间 辛苦 排练 的 成果 呀 !,般,般,"般, 种, 套"
"下午 困死 了 , 于是 五点多 开始 睡 , 又 是 乱七八糟 一 <CL> <h>梦</h> 。","下午 困死 了 , 于是 五点多 开始 睡 , 又 是 乱七八糟 一 [MASK] 梦 。",队,个,"个, 场, 团"
上传 了 6 <CL> <h>照片</h> 到 相册 向日葵怂,上传 了 6 [MASK] 照片 到 相册 向日葵怂,张,张,"张, 个, 幅"
"推荐 给 大家 一 <CL> 不错 的 小 <h>工具</h> 红烧 肉 的 做法 , 实用 又 方便 , 真的 很 赞 哦 !","推荐 给 大家 一 [MASK] 不错 的 小 工具 红烧 肉 的 做法 , 实用 又 方便 , 真的 很 赞 哦 !",个,个,"个, 些, 款"
旁边 坐 着 一 <CL> 神神 叨叨 不 讲 卫生 的 极品 <h>恶男</h>,旁边 坐 着 一 [MASK] 神神 叨叨 不 讲 卫生 的 极品 恶男,个,个,"个, 位, 群"
"熬夜 , 各 种痘 , 各 <CL> <h>肿好累</h> , 我 真的 受 不 了 夜生活 了 青瓜 面膜 我 爱 你 , 快点 让 我 的 皮肤 恢复 水嫩 细 滑","熬夜 , 各 种痘 , 各 [MASK] 肿好累 , 我 真的 受 不 了 夜生活 了 青瓜 面膜 我 爱 你 , 快点 让 我 的 皮肤 恢复 水嫩 细 滑",种,种,"种, 个, 处"
"我 一直 非常 非常 非常 想要 说 一 <CL> 非常 帅气 的 <h>对白</h> , 那 就 是 , 这 辈子 我 买 过 房子 , 也 买 过 车子 , 但是 我 买 过 最 贵 的 , 是 梦想 !","我 一直 非常 非常 非常 想要 说 一 [MASK] 非常 帅气 的 对白 , 那 就 是 , 这 辈子 我 买 过 房子 , 也 买 过 车子 , 但是 我 买 过 最 贵 的 , 是 梦想 !",句,个,"个, 句, 段"
上传 了 1 <CL> <h>照片</h> 到 相册 迦南,上传 了 1 [MASK] 照片 到 相册 迦南,张,张,"张, 个, 幅"
一 <CL> <h>人</h> 开 在 空无一人 的 路 上 。,一 [MASK] 人 开 在 空无一人 的 路 上 。,个,个,"个, 行, 群"
原来 每 <CL> <h>情歌</h> 都 可以 对号 入座 。,原来 每 [MASK] 情歌 都 可以 对号 入座 。,首,首,"首, 句, 曲"
上传 了 8 <CL> <h>照片</h> 到 相册 最 臭美 的 人 !,上传 了 8 [MASK] 照片 到 相册 最 臭美 的 人 !,张,张,"张, 个, 幅"
既然 如此 那么 好 吧 让 我 好好 睡 一 觉 吧 睡 掉 心 中 的 疑惑 睡去 那 <CL> 力求 真相 的 <h>冲劲</h> 也 睡去 我 那 日渐 加深 的 黑眼圈 吧 。,既然 如此 那么 好 吧 让 我 好好 睡 一 觉 吧 睡 掉 心 中 的 疑惑 睡去 那 [MASK] 力求 真相 的 冲劲 也 睡去 我 那 日渐 加深 的 黑眼圈 吧 。,份,种,"种, 股, 些"
"做 了 梦 如下 带 着 我 去 完成 一 <CL> 艰巨 的 <h>使命</h> , 每 人 身 上 都 背 有 功率 强大 的 电源 。","做 了 梦 如下 带 着 我 去 完成 一 [MASK] 艰巨 的 使命 , 每 人 身 上 都 背 有 功率 强大 的 电源 。",项,个,"个, 项, 份"
一 <CL> <h>迎</h> 春花,一 [MASK] 迎 春花,组,朵,"朵, 枝, 等"
又 要 备战 新 一 <CL> <h>考试</h> 。,又 要 备战 新 一 [MASK] 考试 。,轮,轮,"轮, 次, 届"
"这 <CL> <h>尺子</h> 只要 你 走 过 就 会 自动 伸长 , 然后 到 直 到 承受 不 住 自身 重量 倒下 。","这 [MASK] 尺子 只要 你 走 过 就 会 自动 伸长 , 然后 到 直 到 承受 不 住 自身 重量 倒下 。",排,个,"个, 把, 根"
"一 <CL> <h>菜</h> 半 小时 杀光 , 闲 得 无聊 , 咱就 来 炫炫 富 吧 !","一 [MASK] 菜 半 小时 杀光 , 闲 得 无聊 , 咱就 来 炫炫 富 吧 !",桌,道,"道, 盘, 个"
"8 <CL> <h>钟</h> , 完成 !","8 [MASK] 钟 , 完成 !",个,分,"分, 点, 个"
调 三 <CL> <h>闹钟</h> 就 不 信 明天 起 不 来,调 三 [MASK] 闹钟 就 不 信 明天 起 不 来,个,个,"个, 次, 分"
"到 最后 就 我 一 <CL> <h>清醒</h> 的 , 搞 毛 啊","到 最后 就 我 一 [MASK] 清醒 的 , 搞 毛 啊",个,个,"个, 脸, 样"
"我 的 飞车 成就 完成 <h>剧情</h> 任务 飞跃 地平线 英雄 难度 第 8 关 , 又 要 等待 下 一 <CL> 剧情 了 。","我 的 飞车 成就 完成 剧情 任务 飞跃 地平线 英雄 难度 第 8 关 , 又 要 等待 下 一 [MASK] 剧情 了 。",个,点,"点, 个, 行"
一 <CL> 野 f 等 <h>住</h> 我 整 。,一 [MASK] 野 f 等 住 我 整 。,堆,个,"个, 群, 堆"
"发 一 <CL> 今天 败 得 水仙 的 <h>照</h> , 看看 明天 会 开 了 多少","发 一 [MASK] 今天 败 得 水仙 的 照 , 看看 明天 会 开 了 多少",张,张,"张, 下, 些"
"看见 陈大可 她 我 就 想起 了 我 前 <CL> 准 <h>老婆婆</h> , 我 还 不 能 像 李小璐 那么 面 , 打 起来 就 不 好 了 啦 , 我 这 也 是 为 和谐 社会 做 贡献 , 祝你 早日 找到 大面 瓜 媳妇儿 。","看见 陈大可 她 我 就 想起 了 我 前 [MASK] 准 老婆婆 , 我 还 不 能 像 李小璐 那么 面 , 打 起来 就 不 好 了 啦 , 我 这 也 是 为 和谐 社会 做 贡献 , 祝你 早日 找到 大面 瓜 媳妇儿 。",任,任,"任, 世, 辈"
"这 是 游人 曾 为 龙庆峡 拟 的 一 <CL> <h>对联</h> , 或许 , 它 道出 了 这 片奇山 丽水 的 底蕴 。","这 是 游人 曾 为 龙庆峡 拟 的 一 [MASK] 对联 , 或许 , 它 道出 了 这 片奇山 丽水 的 底蕴 。",副,副,"副, 幅, 对"
"扇面 墙 背面 塑 有 玲珑 别致 的 须弥山 , 山间 塑有 罗汉 狮象 等 , 中部 有 一 <CL> 明代 彩塑 观音 <h>坐像</h> , 头 戴 宝冠 , 肩 披 璎珞 飘带 , 胸 臂 裸露 圆润 , 一 足踏莲 , 一 足 踞起 , 双 手 抚膝 。","扇面 墙 背面 塑 有 玲珑 别致 的 须弥山 , 山间 塑有 罗汉 狮象 等 , 中部 有 一 [MASK] 明代 彩塑 观音 坐像 , 头 戴 宝冠 , 肩 披 璎珞 飘带 , 胸 臂 裸露 圆润 , 一 足踏莲 , 一 足 踞起 , 双 手 抚膝 。",尊,尊,"尊, 座, 个"
四 期 不 看 城画然 後 好像 不 認識 了 翻 兩三頁 就 是 篇 想 假裝 不 是 廣告 的 廣告 大膽 的 配圖 一 大 <CL> <h>密密麻麻</h> 的 文字 原來 的 小 清新 大 希望 去 哪 兒了,四 期 不 看 城画然 後 好像 不 認識 了 翻 兩三頁 就 是 篇 想 假裝 不 是 廣告 的 廣告 大膽 的 配圖 一 大 [MASK] 密密麻麻 的 文字 原來 的 小 清新 大 希望 去 哪 兒了,片,堆,"堆, 段, 篇"
很 久 没有 坐 过 家 里 的 公车 了 去 问 朋友 结果 朋友 一 <CL> 看 外星人 的 <h>样子</h> 说道 你 还是 不 是 梅州 人好 郁闷 啊,很 久 没有 坐 过 家 里 的 公车 了 去 问 朋友 结果 朋友 一 [MASK] 看 外星人 的 样子 说道 你 还是 不 是 梅州 人好 郁闷 啊,副,脸,"脸, 副, 个"
"刚刚 在 德克萨斯 扑克 游戏 中 与 同桌 PK , 以 一 <CL> 葫芦 <h>牌型</h> 赢取 了 198 筹码 !","刚刚 在 德克萨斯 扑克 游戏 中 与 同桌 PK , 以 一 [MASK] 葫芦 牌型 赢取 了 198 筹码 !",手,个,"个, 张, 种"
到头来 我 两 <CL> <h>妹妹</h> 才 是 最 懂 我 的,到头来 我 两 [MASK] 妹妹 才 是 最 懂 我 的,个,个,"个, 位, 家"
珊记 话 俄 发 左 呢 <CL> <h>微博</h> 就 有 好 多 好多 人 关注 俄 噶啦 大家 多 D 支持 啊啊 啊啊 啊啊 。,珊记 话 俄 发 左 呢 [MASK] 微博 就 有 好 多 好多 人 关注 俄 噶啦 大家 多 D 支持 啊啊 啊啊 啊啊 。,条,个,"个, 条, 张"
这 是 一 <CL> 大大 的 <h>赌注</h> 我 想 知道 答案,这 是 一 [MASK] 大大 的 赌注 我 想 知道 答案,个,场,"场, 个, 次"
"六点 准时 <h>走</h> , 很 亢奋 , 沿海 南 下 , 第一 <CL> 走 。","六点 准时 走 , 很 亢奋 , 沿海 南 下 , 第一 [MASK] 走 。",次,路,"路, 下, 行"
鹏哥 畅姐 喜乐 会 男生 女生 冬季 巨制 鹏哥 畅姐 喜乐 会 新 一 <CL> 活力 星 <h>主播</h> 今晚 继续 为 你 带来 我 是 K 歌王 !,鹏哥 畅姐 喜乐 会 男生 女生 冬季 巨制 鹏哥 畅姐 喜乐 会 新 一 [MASK] 活力 星 主播 今晚 继续 为 你 带来 我 是 K 歌王 !,波,代,"代, 届, 季"
"一 <CL> 面下 <h>肚</h> , 今天 消耗 比较 大 , 比较 饿 。","一 [MASK] 面下 肚 , 今天 消耗 比较 大 , 比较 饿 。",碗,碗,"碗, 个, 口"
灌水 表情 灌水 表情 看到 瘦 白鸽 的 博文 一 <CL> <h>创业者</h> 的 创业 半 年 总结 有感而发 的 评论 。,灌水 表情 灌水 表情 看到 瘦 白鸽 的 博文 一 [MASK] 创业者 的 创业 半 年 总结 有感而发 的 评论 。,位,个,"个, 位, 名"
"一 <CL> <h>撕心裂肺</h> 的 声音 在 屋内 回荡 , 走出 房门 依然 萦绕 耳边 。","一 [MASK] 撕心裂肺 的 声音 在 屋内 回荡 , 走出 房门 依然 萦绕 耳边 。",种,个,"个, 阵, 种"
"人生 第一 <CL> <h>手机</h> 是 长虹 A366 , 现在 用 索尼 爱立信 U100i 雅锐 Yari 。","人生 第一 [MASK] 手机 是 长虹 A366 , 现在 用 索尼 爱立信 U100i 雅锐 Yari 。",部,部,"部, 台, 支"
"如果 你 系 广州 甘 我 年三十 晚 都 唔使 一 <CL> 人 系 屋 <h>企</h> 过 , 特然 觉得 好 Lonely 今晚 好 想 同 你 去 party 啊 。","如果 你 系 广州 甘 我 年三十 晚 都 唔使 一 [MASK] 人 系 屋 企 过 , 特然 觉得 好 Lonely 今晚 好 想 同 你 去 party 啊 。",个,个,"个, 家, 班"
"一 睡 高 枕头 就 落枕 , 一 <CL> <h>痛</h> 啊 白痴妹","一 睡 高 枕头 就 落枕 , 一 [MASK] 痛 啊 白痴妹",个,个,"个, 声, 阵"
"过年 第一 <CL> <h>利是</h> , 期待 老豆 封","过年 第一 [MASK] 利是 , 期待 老豆 封",封,个,"个, 块, 份"
对说 四 <CL> 新年 快乐 新 的 一 年 <h>比赛</h> 继续 加油,对说 四 [MASK] 新年 快乐 新 的 一 年 比赛 继续 加油,锅,句,"句, 声, 个"
我 第一 <CL> 自己 挑 的 <h>nike</h> 曾 记得 在 王府井 买 的,我 第一 [MASK] 自己 挑 的 nike 曾 记得 在 王府井 买 的,双,次,"次, 件, 个"
"亲 , 很 棒 的 宝贝 噢 满 468 <CL> 邮丸 美 <h>化妆品</h> 专卖 正品 白金 至 10500","亲 , 很 棒 的 宝贝 噢 满 468 [MASK] 邮丸 美 化妆品 专卖 正品 白金 至 10500",包,包,"包, 双, 匹"
爱 欧迪 J3 比较 适合 哪 <CL> <h>类型</h> 的 音乐 呢 ?,爱 欧迪 J3 比较 适合 哪 [MASK] 类型 的 音乐 呢 ?,种,种,"种, 个, 些"
"还 记得 去年 也 是 下 着 小 <h>雪</h> , 地上 积 了 薄薄 的 一 <CL> 雪 。","还 记得 去年 也 是 下 着 小 雪 , 地上 积 了 薄薄 的 一 [MASK] 雪 。",层,滴,"滴, 层, 点"
不 要 等 十几 <CL> <h>人</h> 把 事情 闹 大 再 去 解决 。,不 要 等 十几 [MASK] 人 把 事情 闹 大 再 去 解决 。,家,个,"个, 代, 条"
"最 难 消化 的 4 <CL> <h>食物</h> 1 冰激凌 会 影响 肠胃 功能 的 正常 运转 , 造成 食物 很 难 消化 , 容易 损伤 脾胃 。","最 难 消化 的 4 [MASK] 食物 1 冰激凌 会 影响 肠胃 功能 的 正常 运转 , 造成 食物 很 难 消化 , 容易 损伤 脾胃 。",类,种,"种, 类, 个"
"100 多 <CL> 小 <h>短篇</h> , 文字 很 美 , 很 柔软 , 淡淡 的 疼惜 和 敏感 的 心 我 所 读到 的 最 温暖 最 孤独 最 伤感 的 书 。","100 多 [MASK] 小 短篇 , 文字 很 美 , 很 柔软 , 淡淡 的 疼惜 和 敏感 的 心 我 所 读到 的 最 温暖 最 孤独 最 伤感 的 书 。",个,个,"个, 篇, 页"
系 2 <CL> <h>主席</h> 。,系 2 [MASK] 主席 。,个,届,"届, 班, 副"
"你 设定 的 目标 越 是 高远 , 由于 <h>压力</h> 所 产生 的 动力 也 就 越 大 , 如果 你 能 承受 住 这 <CL> 压力 , 将 激发 出 你 体内 蕴藏 的 极 大 潜能 。","你 设定 的 目标 越 是 高远 , 由于 压力 所 产生 的 动力 也 就 越 大 , 如果 你 能 承受 住 这 [MASK] 压力 , 将 激发 出 你 体内 蕴藏 的 极 大 潜能 。",种,对,"对, 则, 所"
"总 有 一 <CL> 明天 就 休假 的 <h>感觉</h> , 呵呵","总 有 一 [MASK] 明天 就 休假 的 感觉 , 呵呵",种,种,"种, 个, 些"
"不管 哪 阵子 , 别 忘 了 , 总 会 有 一 <CL> 不 嫌弃 你 的 <h>人</h> , 陪 着 你 , 不 是 一 阵子 , 而 是 一 辈子 。","不管 哪 阵子 , 别 忘 了 , 总 会 有 一 [MASK] 不 嫌弃 你 的 人 , 陪 着 你 , 不 是 一 阵子 , 而 是 一 辈子 。",个,个,"个, 些, 群"
"什么 言语 都 没有 , 只有 晚安 两 <CL> <h>字</h> , 意味 深长 。","什么 言语 都 没有 , 只有 晚安 两 [MASK] 字 , 意味 深长 。",个,个,"个, 行, 句"
昨晚 居然 遇到 一 <CL> 这 <h>高傲</h> 的 乞丐 买 吃 的 给 他 居然 不 要 强滴,昨晚 居然 遇到 一 [MASK] 这 高傲 的 乞丐 买 吃 的 给 他 居然 不 要 强滴,个,个,"个, 位, 群"
一 农妇 初 <CL> <h>进城</h> !,一 农妇 初 [MASK] 进城 !,次,次,"次, 步, 点"
"经过 一 天 的 折腾 终于 回到 家 吃 了 两 大 <CL> <h>鸡汤</h> 外加 米饭 , 我 的 大肚腩 好像 又 略微 的 鼓 起来 了 哦 。","经过 一 天 的 折腾 终于 回到 家 吃 了 两 大 [MASK] 鸡汤 外加 米饭 , 我 的 大肚腩 好像 又 略微 的 鼓 起来 了 哦 。",碗,碗,"碗, 锅, 包"
上传 了 2 <CL> <h>照片</h> 到 相册 LOVE,上传 了 2 [MASK] 照片 到 相册 LOVE,张,张,"张, 组, 个"
居然 还 混 了 <CL> 座儿 <h>嘻嘻</h>,居然 还 混 了 [MASK] 座儿 嘻嘻,个,个,"个, 名, 把"
"每 <CL> <h>抬头</h> 看 夜空 , 终于 发现 , 最美 还是 从前 。","每 [MASK] 抬头 看 夜空 , 终于 发现 , 最美 还是 从前 。",次,次,"次, 个, 回"
"主持 一 <CL> <h>家</h> , 劳心 劳力 胼手胝足 , 讲 的 是 毅力 非 手腕 。","主持 一 [MASK] 家 , 劳心 劳力 胼手胝足 , 讲 的 是 毅力 非 手腕 。",个,个,"个, 家, 回"
山珍 海味 比 不 起 家裏 的 一 <CL> <h>簡餐</h> 啊 。,山珍 海味 比 不 起 家裏 的 一 [MASK] 簡餐 啊 。,席,般,"般, 份, 些"
"又 在 抽屉 里 发现 了 这个 , 还 有 一 <CL> 民国 时期 的 <h>铜币</h> 。","又 在 抽屉 里 发现 了 这个 , 还 有 一 [MASK] 民国 时期 的 铜币 。",枚,枚,"枚, 个, 些"
准备 年货 过 年 招待 亲友 四 <CL> <h>坚果</h> 千万 别 买 霉变 坚果 有 致癌 危险 炒焦 的 坚果 可 致癌 美容 的 坚果损 健康 口味 太重 的 坚果 易 变质 。,准备 年货 过 年 招待 亲友 四 [MASK] 坚果 千万 别 买 霉变 坚果 有 致癌 危险 炒焦 的 坚果 可 致癌 美容 的 坚果损 健康 口味 太重 的 坚果 易 变质 。,种,种,"种, 款, 类"
"不 是 我 心眼 小 , 只是 我 心 太 小 , 只 能 装下 一 <CL> <h>人</h> 。","不 是 我 心眼 小 , 只是 我 心 太 小 , 只 能 装下 一 [MASK] 人 。",个,个,"个, 群, 些"
能 置 办好 一 <CL> <h>酒菜</h> 是 种 本事 !,能 置 办好 一 [MASK] 酒菜 是 种 本事 !,桌,桌,"桌, 盘, 顿"
若曦 对 十 爷挺 残忍 <CL> <h>惊心</h> 还行 看 着 嘲笑偶 吧 。,若曦 对 十 爷挺 残忍 [MASK] 惊心 还行 看 着 嘲笑偶 吧 。,步,点,"点, 对, 个"
姓 胡 的 你 <CL> <h>混蛋</h> 你 他 妈 的 居然 有 外遇 !,姓 胡 的 你 [MASK] 混蛋 你 他 妈 的 居然 有 外遇 !,个,个,"个, 家, 群"
", 我 投给 了 佟丽娅 这 1 <CL> <h>选项</h> 。",", 我 投给 了 佟丽娅 这 1 [MASK] 选项 。",个,个,"个, 号, 项"
"国内 的 摇滚圈 , 画面 感 很 强 的 , 中国 <h>摇滚</h> 这么 多 年 , 需要 一 <CL> 本质 摇滚 的 人 来 关注 。","国内 的 摇滚圈 , 画面 感 很 强 的 , 中国 摇滚 这么 多 年 , 需要 一 [MASK] 本质 摇滚 的 人 来 关注 。",个,把,"把, 对, 点"
不 能 承受 生命 之 轻 我们 身边 有 三 <CL> <h>人</h> 朋友 敌人 非 敌 非 友 的 人 。,不 能 承受 生命 之 轻 我们 身边 有 三 [MASK] 人 朋友 敌人 非 敌 非 友 的 人 。,种,种,"种, 个, 类"
"现 已 有 5 <CL> <h>工人</h> , 连 我 才 凑 够 满额 。","现 已 有 5 [MASK] 工人 , 连 我 才 凑 够 满额 。",名,名,"名, 个, 位"
"我 在 龙年 送 大礼 , Ipad 送 你 大 转盘 活动 中 抽 中 二 <CL> <h>奖</h> 镭拓 腕托 鼠标垫 地址","我 在 龙年 送 大礼 , Ipad 送 你 大 转盘 活动 中 抽 中 二 [MASK] 奖 镭拓 腕托 鼠标垫 地址",等,等,"等, 次, 件"
嘿嘿 寒假 要 狂 体 电影 今 <CL> <h>稳人</h> 陪 我 挑战 恐怖片,嘿嘿 寒假 要 狂 体 电影 今 [MASK] 稳人 陪 我 挑战 恐怖片,次,个,"个, 世, 只"
"一 <CL> <h>同学</h> 非要 给 我 介绍 男朋友 , 我 说 必须 符合 我 的 要求 才 能 去 见面 , 不 能 随随便便 就 去 见 !","一 [MASK] 同学 非要 给 我 介绍 男朋友 , 我 说 必须 符合 我 的 要求 才 能 去 见面 , 不 能 随随便便 就 去 见 !",个,个,"个, 位, 名"
"现在 的 利物浦 一 <CL> 牛逼 <h>人物</h> , 神锋卡罗尔 大师 亨德森 飞翼 马克西 铁 卫 约翰逊","现在 的 利物浦 一 [MASK] 牛逼 人物 , 神锋卡罗尔 大师 亨德森 飞翼 马克西 铁 卫 约翰逊",堆,个,"个, 些, 代"
"我 参与 了 发起 的 投票 每 年 春节 前 你 都 会 做 什么 准备 , 我 投给 了 打扫 房间 , 清 杂物 这 5 <CL> <h>选项</h> 。","我 参与 了 发起 的 投票 每 年 春节 前 你 都 会 做 什么 准备 , 我 投给 了 打扫 房间 , 清 杂物 这 5 [MASK] 选项 。",个,个,"个, 种, 项"
第三 <CL> <h>越狱</h> 。,第三 [MASK] 越狱 。,次,次,"次, 步, 个"
"这 <CL> <h>冷冷</h> 的 天气 真 不 想 出去 啊 刚 考完 试 也 不 急着 看书 无聊 地 在 床 上 打滚 , 余光 刚好 扫 过 的 3 DS 不 不 行 不 行 不 行 !","这 [MASK] 冷冷 的 天气 真 不 想 出去 啊 刚 考完 试 也 不 急着 看书 无聊 地 在 床 上 打滚 , 余光 刚好 扫 过 的 3 DS 不 不 行 不 行 不 行 !",种,样,"样, 种, 个"
"脑子 真 疼 初 七 <CL> 小 <h>人</h> , 回家 歹饺子 哈哈","脑子 真 疼 初 七 [MASK] 小 人 , 回家 歹饺子 哈哈",管,发,"发, 个, 下"
"打扮 得 如此 粉嫩 斯文 , 却 在 如厕 后 展示 了 你 颠覆性 的 一 <CL> <h>临门一脚</h> 冲厕 所 !","打扮 得 如此 粉嫩 斯文 , 却 在 如厕 后 展示 了 你 颠覆性 的 一 [MASK] 临门一脚 冲厕 所 !",面,次,"次, 个, 种"
"工作 动态 在 新春 佳节 合家 团聚 之际 , 华山 东路 派出所 也 以 传统 方式 欢度 佳节 全 <CL> <h>民警</h> 自 除夕 至 年初一 , 全天候 坚守 在 辖区 圆通 寺 圆通山 , 为 群众 平安 进香 快乐 出游 排忧 解难 保驾 护航 。","工作 动态 在 新春 佳节 合家 团聚 之际 , 华山 东路 派出所 也 以 传统 方式 欢度 佳节 全 [MASK] 民警 自 除夕 至 年初一 , 全天候 坚守 在 辖区 圆通 寺 圆通山 , 为 群众 平安 进香 快乐 出游 排忧 解难 保驾 护航 。",所,局,"局, 队, 部"
"好不容易 睡 <CL> <h>懒觉</h> , 还是 自己 逼 自己 的 , 本来 六点半 就 醒了","好不容易 睡 [MASK] 懒觉 , 还是 自己 逼 自己 的 , 本来 六点半 就 醒了",个,个,"个, 回, 起"
"她 嫌 男友 当 着 朋友 没有 给 留 面子 , 便 拿起 一 <CL> <h>汽油</h> , 用 打火机 点燃 。","她 嫌 男友 当 着 朋友 没有 给 留 面子 , 便 拿起 一 [MASK] 汽油 , 用 打火机 点燃 。",瓶,瓶,"瓶, 桶, 罐"
那 一 <CL> 会 笑 的 <h>女孩</h> 她 是 不 是 死 了 。,那 一 [MASK] 会 笑 的 女孩 她 是 不 是 死 了 。,个,个,"个, 位, 只"
在 存完 压岁 钱 回家 之后 我 偷偷 的 喝 了 一 <CL> <h>红酒</h> 感觉 头 有 点晕 啊啊 啊 不 会 吧 我 不 会 这么 弱 吧,在 存完 压岁 钱 回家 之后 我 偷偷 的 喝 了 一 [MASK] 红酒 感觉 头 有 点晕 啊啊 啊 不 会 吧 我 不 会 这么 弱 吧,杯,杯,"杯, 瓶, 口"
发表 了 一 <CL> 转载 <h>博文</h> 转载 单车 万 里 藏 地 行摄 抵达 拉萨,发表 了 一 [MASK] 转载 博文 转载 单车 万 里 藏 地 行摄 抵达 拉萨,篇,篇,"篇, 些, 条"
"龙年 第一 <CL> <h>愿望</h> , 希望 今天 高速 堵车 !","龙年 第一 [MASK] 愿望 , 希望 今天 高速 堵车 !",个,个,"个, 件, 条"
"第一 站 是 <h>民族</h> 博物馆 , 广西 有 12 <CL> 少数 民族 , 这里 展出 了 各 少数 民族 的 衣 食 住行 文化 。","第一 站 是 民族 博物馆 , 广西 有 12 [MASK] 少数 民族 , 这里 展出 了 各 少数 民族 的 衣 食 住行 文化 。",个,个,"个, 名, 家"
我们 这 <CL> 玩 了 10 几 年 的 <h>老友</h> 都 渐渐 迈入 三十 的 队伍 了 。,我们 这 [MASK] 玩 了 10 几 年 的 老友 都 渐渐 迈入 三十 的 队伍 了 。,波,些,"些, 个, 位"
可以 睡 到 现在 真 是 一 <CL> <h>享受</h>,可以 睡 到 现在 真 是 一 [MASK] 享受,种,种,"种, 个, 件"
但 几十 <CL> <h>电杆</h> 经过 努力 还是 全部 运 到位 。,但 几十 [MASK] 电杆 经过 努力 还是 全部 运 到位 。,根,根,"根, 个, 支"
"有些 事 只 能 自己 去 度过 , 这 世界 上 根本 没有 一 <CL> <h>东西</h> 叫 感同身受 。","有些 事 只 能 自己 去 度过 , 这 世界 上 根本 没有 一 [MASK] 东西 叫 感同身受 。",种,种,"种, 样, 个"
"都 他丫 的 这个 时间 段 了 , 还 TMD 的 放 十万 响 的 那 <CL> <h>挂鞭</h> 。","都 他丫 的 这个 时间 段 了 , 还 TMD 的 放 十万 响 的 那 [MASK] 挂鞭 。",种,个,"个, 种, 些"
